"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Используя две разные кнопки на главной странице и два набора разных данных оформляем заказы и проверяем успешность","4212","Проверка позитивного сценария заказа самоката","tests","Thu Jan 09 21:53:17 MSK 2025","passed","Thu Jan 09 21:53:21 MSK 2025","TestOrderPage","test_order","",""
"Нажимаем на каждый вопрос и проверяем соответствующий текст","1552","Проверка выпадающего списка в разделе ""Вопросы о важном""","tests","Thu Jan 09 21:53:10 MSK 2025","passed","Thu Jan 09 21:53:11 MSK 2025","TestFAQ","test_faq","",""
"Нажимаем на каждый вопрос и проверяем соответствующий текст","1384","Проверка выпадающего списка в разделе ""Вопросы о важном""","tests","Thu Jan 09 21:52:59 MSK 2025","passed","Thu Jan 09 21:53:01 MSK 2025","TestFAQ","test_faq","",""
"Нажимаем на каждый вопрос и проверяем соответствующий текст","1410","Проверка выпадающего списка в разделе ""Вопросы о важном""","tests","Thu Jan 09 21:53:06 MSK 2025","passed","Thu Jan 09 21:53:08 MSK 2025","TestFAQ","test_faq","",""
"Нажимаем на каждый вопрос и проверяем соответствующий текст","1368","Проверка выпадающего списка в разделе ""Вопросы о важном""","tests","Thu Jan 09 21:52:56 MSK 2025","passed","Thu Jan 09 21:52:57 MSK 2025","TestFAQ","test_faq","",""
"Нажимаем на каждый вопрос и проверяем соответствующий текст","1482","Проверка выпадающего списка в разделе ""Вопросы о важном""","tests","Thu Jan 09 21:53:03 MSK 2025","passed","Thu Jan 09 21:53:04 MSK 2025","TestFAQ","test_faq","",""
"Нажимаем на каждый вопрос и проверяем соответствующий текст","1507","Проверка выпадающего списка в разделе ""Вопросы о важном""","tests","Thu Jan 09 21:52:49 MSK 2025","passed","Thu Jan 09 21:52:51 MSK 2025","TestFAQ","test_faq","",""
"Нажимаем на каждый вопрос и проверяем соответствующий текст","1336","Проверка выпадающего списка в разделе ""Вопросы о важном""","tests","Thu Jan 09 21:52:53 MSK 2025","passed","Thu Jan 09 21:52:54 MSK 2025","TestFAQ","test_faq","",""
"Используя две разные кнопки на главной странице и два набора разных данных оформляем заказы и проверяем успешность","3933","Проверка позитивного сценария заказа самоката","tests","Thu Jan 09 21:53:23 MSK 2025","passed","Thu Jan 09 21:53:27 MSK 2025","TestOrderPage","test_order","",""
"Нажимаем на каждый вопрос и проверяем соответствующий текст","1795","Проверка выпадающего списка в разделе ""Вопросы о важном""","tests","Thu Jan 09 21:53:13 MSK 2025","passed","Thu Jan 09 21:53:15 MSK 2025","TestFAQ","test_faq","",""
"Нажимаем на логотипы ""Самокат"" и ""Яндекс"" проверяем редиректы на корректные страницы","2174","Проверка редиректов с главной страницы","tests","Thu Jan 09 21:53:29 MSK 2025","passed","Thu Jan 09 21:53:31 MSK 2025","TestRedirect","test_redirect","",""
